date,pcp,evap,debit
2000-01-01,0.0,5.24,17.361
2000-01-02,0.0,4.87,16.493
2000-01-03,0.0,5.44,15.668
2000-01-04,0.0,5.54,14.885
2000-01-05,0.0,4.7,14.141
2000-01-06,0.0,4.93,13.434
2000-01-07,0.0,5.4,12.762
2000-01-08,0.0,5.3,12.124
2000-01-09,0.0,5.42,11.518
2000-01-10,0.0,5.21,10.942
2000-01-11,0.0,5.76,10.395
2000-01-12,0.0,5.76,9.875
2000-01-13,0.0,5.58,9.381
2000-01-14,0.0,5.93,8.912
2000-01-15,0.0,5.77,8.467
2000-01-16,0.0,5.4,8.043
2000-01-17,0.0,5.8,7.641
2000-01-18,0.0,5.44,7.259
2000-01-19,0.0,6.02,6.896
2000-01-20,0.0,5.77,6.551
2000-01-21,0.0,5.76,6.224
2000-01-22,0.0,5.64,5.913
2000-01-23,0.0,6.24,5.617
2000-01-24,0.0,5.86,5.336
2000-01-25,0.0,5.81,5.069
2000-01-26,0.0,5.86,4.816
2000-01-27,0.0,6.15,4.575
2000-01-28,0.0,6.13,4.346
2000-01-29,0.0,6.17,4.129
2000-01-30,0.0,6.2,3.922
2000-01-31,0.0,6.74,3.726
2000-02-01,0.0,6.0,3.54
2000-02-02,0.0,6.0,3.363
2000-02-03,0.0,5.93,3.195
2000-02-04,0.0,6.38,3.035
2000-02-05,0.0,6.56,2.883
2000-02-06,0.0,6.21,2.739
2000-02-07,0.0,6.02,2.602
2000-02-08,0.0,6.04,2.472
2000-02-09,0.0,6.51,2.349
2000-02-10,0.0,6.56,2.231
2000-02-11,0.0,6.52,2.12
2000-02-12,0.0,6.18,2.014
2000-02-13,0.0,6.46,1.913
2000-02-14,0.0,6.45,1.817
2000-02-15,0.0,6.5,1.726
2000-02-16,0.0,6.71,1.64
2000-02-17,0.0,6.53,1.558
2000-02-18,0.0,6.69,1.48
2000-02-19,0.0,6.52,1.406
2000-02-20,0.0,6.6,1.336
2000-02-21,0.0,6.72,1.269
2000-02-22,1.6,6.11,1.206
2000-02-23,0.0,6.46,1.145
2000-02-24,0.0,6.43,1.088
2000-02-25,0.0,6.39,1.034
2000-02-26,0.0,6.51,0.982
2000-02-27,0.0,7.06,0.933
2000-02-28,0.0,6.36,0.886
2000-02-29,0.0,6.92,0.842
2000-03-01,1.9,6.13,0.8
2000-03-02,0.0,6.54,0.76
2000-03-03,0.0,6.7,0.722
2000-03-04,0.0,6.84,0.686
2000-03-05,0.4,6.88,0.651
2000-03-06,0.0,6.91,0.619
2000-03-07,0.0,6.57,0.588
2000-03-08,0.0,6.55,0.559
2000-03-09,0.0,6.95,0.531
2000-03-10,0.0,6.63,0.504
2000-03-11,0.0,6.31,0.479
2000-03-12,0.0,6.36,0.455
2000-03-13,0.0,6.42,0.432
2000-03-14,0.0,6.85,0.411
2000-03-15,0.0,6.74,0.39
2000-03-16,0.0,6.91,0.371
2000-03-17,0.0,6.57,0.352
2000-03-18,0.0,6.74,0.334
2000-03-19,0.0,6.88,0.318
2000-03-20,0.0,6.6,0.302
2000-03-21,0.0,6.83,0.287
2000-03-22,0.0,6.49,0.272
2000-03-23,0.0,6.57,0.259
2000-03-24,4.1,6.56,0.246
2000-03-25,0.0,6.31,0.234
2000-03-26,0.0,6.81,0.222
2000-03-27,0.0,6.51,0.211
2000-03-28,0.0,6.65,0.2
2000-03-29,0.0,6.78,0.19
2000-03-30,0.0,6.76,0.181
2000-03-31,0.0,6.82,0.172
2000-04-01,0.0,6.58,0.163
2000-04-02,0.0,6.47,0.155
2000-04-03,0.0,6.56,0.147
2000-04-04,0.0,6.06,0.14
2000-04-05,0.0,6.12,0.133
2000-04-06,0.0,6.15,0.126
2000-04-07,2.2,6.23,0.12
2000-04-08,0.0,6.64,0.114
2000-04-09,0.0,6.23,0.108
2000-04-10,0.0,6.37,0.103
2000-04-11,0.0,6.86,0.098
2000-04-12,0.0,6.34,0.093
2000-04-13,0.0,6.65,0.088
2000-04-14,0.0,6.13,0.084
2000-04-15,0.0,6.33,0.08
2000-04-16,0.0,6.09,0.076
2000-04-17,0.0,6.25,0.072
2000-04-18,0.0,6.59,0.068
2000-04-19,0.0,5.79,0.065
2000-04-20,0.0,6.42,0.062
2000-04-21,0.0,6.34,0.058
2000-04-22,0.0,6.07,0.056
2000-04-23,0.0,5.79,0.053
2000-04-24,0.0,6.22,0.05
2000-04-25,0.0,6.02,0.048
2000-04-26,0.0,6.22,0.045
2000-04-27,0.0,6.13,0.043
2000-04-28,0.0,6.58,0.041
2000-04-29,0.0,6.0,0.039
2000-04-30,0.0,5.74,0.037
2000-05-01,6.0,6.07,0.035
2000-05-02,0.0,6.06,0.033
2000-05-03,0.0,6.37,0.032
2000-05-04,0.0,6.19,0.03
2000-05-05,0.0,6.01,0.029
2000-05-06,0.0,6.32,0.027
2000-05-07,0.0,5.49,0.026
2000-05-08,0.0,5.63,0.024
2000-05-09,0.0,5.51,0.023
2000-05-10,0.0,5.64,0.022
2000-05-11,0.0,5.31,0.021
2000-05-12,5.8,5.88,0.02
2000-05-13,13.5,5.59,0.019
2000-05-14,0.0,5.19,0.018
2000-05-15,0.0,5.29,0.017
2000-05-16,2.6,5.66,0.016
2000-05-17,0.0,5.78,0.015
2000-05-18,5.6,6.1,0.015
2000-05-19,0.0,6.34,0.014
2000-05-20,0.0,5.55,0.013
2000-05-21,0.0,5.1,0.013
2000-05-22,0.0,4.72,0.012
2000-05-23,0.0,5.4,0.011
2000-05-24,0.0,5.04,0.011
2000-05-25,2.4,5.13,0.01
2000-05-26,0.0,5.03,0.01
