"OUTLET_LEV12","HYBAS_ID_LEV05","NEXT_DOWN","UP_AREA_OUTLET","SUB_AREA_OUTLET","N_LEV12","DIST_SINK","DIST_MAIN","ENDO","COAST","ORDER","SORT","PFAF_ID","MAIN_BAS","NEXT_SINK","N_UPSTREAM","UPSTREAM_FRACTION","MAX_UP_AREA","IS_MAX_UP_AREA","OUTLET_LONGITUDE","OUTLET_LATITUDE"
"1120000150","1050000010","0",4217.4,59.7,346,0,0,0,0,1,42,111014011100,1120000150,1120000150,32,0.092485549132948,4217.4,TRUE,32.594656531981,29.08327485
"1120001370","1050001370","0",11678.5,212.9,85,0,0,0,0,1,347,111020101000,1120001370,1120001370,85,1,11678.5,TRUE,35.4783217509915,23.0593114
"1120001430","1050001380","0",2268.4,28.9,45,0,0,0,0,1,447,111030041000,1120001430,1120001430,18,0.4,2268.4,TRUE,35.764666932913,22.83125
"1120001510","1050001510","0",42400.1,163.1,325,0,0,0,0,1,477,111041100100,1120001510,1120001510,325,1,42400.1,TRUE,36.0184692062342,22.56666665
"1120001960","1050001520","0",1713.8,160.3,134,0,0,0,0,1,873,111050601100,1120001960,1120001960,12,0.0895522388059701,1713.8,TRUE,36.931057881439,21.11875
"1120002290","1050002290","0",4583.9,95.3,34,0,0,0,0,1,936,111060010100,1120002290,1120002290,34,1,4583.9,TRUE,37.1798726176896,19.8500368
"1120002690","1050002300","0",2345.7,10.9,105,0,0,0,0,1,1047,111070801100,1120002690,1120002690,22,0.20952380952381,2345.7,TRUE,37.577921711278,18.6963172
"1120002760","1050002760","0",63986.6,124.4,507,0,0,0,0,1,1075,111081011000,1120002760,1120002760,507,1,63986.6,TRUE,37.8083401768992,18.5208584
"1120003770","1050002770","0",2863,42.6,286,0,0,0,0,1,1814,111098010010,1120003770,1120003770,23,0.0804195804195804,2863,TRUE,39.6479152556155,15.2623957
"1120005140","1050003990","0",4071.9,123.2,514,0,0,0,0,1,2120,112112010100,1120005140,1120005140,30,0.0583657587548638,4071.9,TRUE,43.5395832817828,11.03541665
"1120005720","1050005720","0",5340.3,53.9,45,0,0,0,0,1,2373,112120010000,1120005720,1120005720,45,1,5340.3,TRUE,45.4398442925831,10.62268235
"1120005780","1050005730","0",825.9,105.7,24,0,0,0,0,1,2423,112130041000,1120005780,1120005780,5,0.208333333333333,825.9,TRUE,45.65196105136,10.70055115
"1120005860","1050005860","0",4796.9,144.5,42,0,0,0,0,1,2442,112140011000,1120005860,1120005860,42,1,4796.9,TRUE,46.2179297200223,10.69985825
"1120005870","1050005870","0",477.4,477.4,1,0,0,0,1,0,2484,1.1215e+11,1120005870,1120005870,1,1,477.4,TRUE,46.4281490797581,10.6718175
"1120005880","1050005880","0",4169.7,153.4,29,0,0,0,0,1,2485,112160010000,1120005880,1120005880,29,1,4169.7,TRUE,46.6538862039645,10.6697342
"1120006360","1050005890","0",1796.2,7.7,122,0,0,0,0,1,2587,112170401000,1120006360,1120006360,16,0.131147540983607,1796.2,TRUE,49.0416514924043,11.24704555
"1120006520","1050006520","0",4780.8,14.1,35,0,0,0,0,1,2636,112180010000,1120006520,1120006520,35,1,4780.8,TRUE,49.9404144202136,11.4787947
"1120006740","1050006530","0",3929.1,21.8,89,0,0,0,0,1,2711,112190610100,1120006740,1120006740,33,0.370786516853933,3929.1,TRUE,51.0898154945054,11.0082628
"1120006850","1050006850","0",28619.4,110.9,227,0,0,0,0,1,2760,112200100100,1120006850,1120006850,227,1,28619.4,TRUE,50.8896532986197,10.45498825
"1120006970","1050006860","0",4315.1,14.1,50,0,0,0,0,1,3004,112300081100,1120006970,1120006970,31,0.62,4315.1,TRUE,50.7911037343204,9.62186865
"1120007040","1050007010","0",298,147.7,6,0,0,0,0,1,3125,112500000410,1120007040,1120007040,2,0.333333333333333,298,TRUE,50.4793731199074,9.09277195
"1120007060","1050007060","0",6516.2,221.5,44,0,0,0,0,1,3128,112600010000,1120007060,1120007060,44,1,6516.2,TRUE,50.3672083865279,8.96719445
"1120007220","1050007070","0",2050.9,212.1,56,0,0,0,0,1,3212,112700081000,1120007220,1120007220,13,0.232142857142857,2050.9,TRUE,49.9832876710151,8.19166665
"1120007260","1050007260","0",64696.7,172.9,529,0,0,0,0,1,3228,112801010100,1120007260,1120007260,529,1,64696.7,TRUE,49.7935972265512,8.02843475
"1120007450","1050007270","0",4430.5,93.7,245,0,0,0,0,1,3833,112908010100,1120007450,1120007450,32,0.130612244897959,4430.5,TRUE,49.2229954695035,6.87916665
"1120008100","1050008100","0",745374.3,3.1,13,0,0,0,0,1,3992,114100001000,1120008100,1120008100,13,1,745374.3,TRUE,42.61057255,-0.24003795
"1121144990","1051144990","1121145330",513314,22.1,5,29.6,29.6,0,0,1,4003,114300000100,1120008100,1120008100,5,1,513314,TRUE,42.587965582295,-0.02637
"1121145090","1051145090","1121145330",230634.3,115.7,114,29.6,29.6,0,0,2,4004,114210101000,1120008100,1120008100,114,1,230634.3,TRUE,42.5169696330827,-0.03921
"1121139500","1051139500","1122082170",298252.8,122.9,183,74.1,74.1,0,0,1,4020,114500101100,1120008100,1120008100,183,1,298252.8,TRUE,42.8353381501697,0.21335755
"1121139430","1051139430","1122082170",214441.4,135.6,370,74.1,74.1,0,0,2,4021,114411100000,1120008100,1120008100,370,1,214441.4,TRUE,42.7189155990548,0.24536355
"1121131830","1051131830","1121132210",123925.1,132.7,952,150.4,150.4,0,0,3,4095,114221001000,1120008100,1120008100,952,1,123925.1,TRUE,42.0468749647926,0.5958333
"1121131990","1051131990","1121132210",92274.6,109.7,15,150.6,150.6,0,0,2,4096,114230001000,1120008100,1120008100,15,1,92274.6,TRUE,42.0021758777626,0.5523363
"1121132520","1051132520","1121132070",81552.5,128.8,31,278.1,278.1,0,0,2,4346,114250011000,1120008100,1120008100,31,1,81552.5,TRUE,41.0126002766944,0.4472614
"1121132340","1051132340","1121132070",8576.7,7.8,67,278.1,278.1,0,0,3,4347,114240011000,1120008100,1120008100,67,1,8576.7,TRUE,41.0746779582113,0.52042
"1121115400","1051115400","1121116580",221362.6,50.8,246,301.1,301.1,0,0,1,4409,114701010100,1120008100,1120008100,246,1,221362.6,TRUE,43.7797663928159,1.2269942
"1121115240","1051115240","1121116580",52927.1,121.2,402,301.3,301.3,0,0,2,4410,114601010100,1120008100,1120008100,402,1,52927.1,TRUE,43.7428004960515,1.2909559
"1121137860","1051137860","1122081110",71878.4,19.2,104,399.6,399.6,0,0,2,4697,114270101000,1120008100,1120008100,104,1,71878.4,TRUE,40.204386397155,0.2625
"1121137960","1051137960","1122081110",5838,0.8,45,399.6,399.6,0,0,3,4698,114260010010,1120008100,1120008100,45,1,5838,TRUE,40.21666665,0.23958335
"1121118600","1051118600","1121119150",22824,169.6,183,558.5,558.5,0,0,2,5340,114290111000,1120008100,1120008100,183,1,22824,TRUE,39.2687500097454,1.10208335
"1121118440","1051118440","1121119150",36189.8,130,289,558.5,558.5,0,0,3,5341,114281001100,1120008100,1120008100,289,1,36189.8,TRUE,39.2468606267301,1.18447455
"1121046600","1051046600","1121048480",153450,157.2,83,771.2,771.2,0,0,2,6259,114430100000,1120008100,1120008100,83,1,153450,TRUE,42.4875688065011,3.881235
"1121046480","1051046480","1121048480",14454.6,49.5,122,771.4,771.4,0,0,3,6260,114420101000,1120008100,1120008100,122,1,14454.6,TRUE,42.5750002805808,3.94168555
"1121038680","1051038680","1121039440",82600.3,33,5,863.3,863.3,0,0,2,6695,114450000100,1120008100,1120008100,5,1,82600.3,TRUE,42.0707392091118,4.2017061
